artist_id,artist_name,in_degree_centrality,out_degree_centrality,betweenness_centrality,katz_centrality,pagerank,eigenvector_centrality,closeness_centrality,clustering_coefficient,ni,nj,nk,disruption,in,out
759491,The Exploited,0.0021420921099607284,0.0023205997857907892,0.00012188812498628344,0.0016235811390074742,0.0001687660596563342,6.717107655296044e-11,0.028412906414066713,0.095,3.0,9.0,270.0,-0.02127659574468085,12.0,13.0
74,Special Duties,0.0,0.0001785076758300607,0.0,0.0003463094090572232,4.661362665256996e-05,2.2640856019096656e-28,0.0,0,,,,,0.0,1.0
25462,Tricky,0.0021420921099607284,0.0023205997857907892,0.0009503511380674627,0.0011776698510017948,0.00011475285013206457,1.3134431444972197e-11,0.027842165313998708,0.021666666666666667,6.0,6.0,473.0,0.0,12.0,13.0
335,PJ Harvey,0.003927168868261335,0.003570153516601214,0.0005896757411797058,0.0015618244678903342,0.00015626470706449588,1.4811802604609957e-12,0.01838418040592208,0.04355400696864112,8.0,14.0,727.0,-0.00801068090787717,22.0,20.0
66915,Bob Dylan,0.06943948589789362,0.00517672259907176,0.0070304266038064235,0.18882710036168554,0.005737017006405377,0.031804078520250675,0.30565607449439264,0.01508267070554083,205.0,184.0,582.0,0.021627188465499485,389.0,29.0
71209,Leonard Cohen,0.011424491253123885,0.0021420921099607284,0.0004856267536418288,0.008980041182814051,0.00047233476701958525,4.8215120972817374e-05,0.13274801872210085,0.027192982456140352,22.0,42.0,792.0,-0.02336448598130841,64.0,12.0
91438,The Gun Club,0.0016065690824705464,0.001785076758300607,7.291197678288458e-05,0.0017881289402184215,0.00010235430191205643,2.8644692646918576e-10,0.056542784616091774,0.05555555555555555,4.0,5.0,376.0,-0.0025974025974025974,9.0,10.0
113823,Chrissie Hynde,0.0010710460549803642,0.0016065690824705464,3.181846787388949e-05,0.0008214788723974421,6.807625509864627e-05,7.199389343588434e-13,0.016075759804552434,0.047619047619047616,5.0,1.0,334.0,0.011764705882352941,6.0,9.0
132710,Crime & the City Solution,0.0005355230274901821,0.001785076758300607,4.001542944512023e-06,0.0005786799258388457,5.810324025538772e-05,7.199389321094799e-13,0.015294973615946412,0.14743589743589744,0.0,3.0,813.0,-0.003676470588235294,3.0,10.0
208582,Lesley Gore,0.0014280614066404856,0.0007140307033202428,0.0001451366310871571,0.0021970927462113534,0.0001489070884482171,2.5801991938264792e-05,0.11033596623643144,0.1076923076923077,3.0,5.0,66.0,-0.02702702702702703,8.0,4.0
378288,Massive Attack,0.005712245626561942,0.003391645840771153,0.0014730730635828969,0.0028309041025299875,0.00029665931267252904,7.198136115957424e-12,0.03898267409488443,0.038431372549019606,15.0,17.0,476.0,-0.003937007874015748,32.0,19.0
397880,Nick Cave,0.003927168868261335,0.005533737950731882,0.009254277608046157,0.0033356536675561536,0.0001905683815143354,1.0375633813115791e-05,0.10802113923687717,0.04793028322440087,3.0,19.0,1193.0,-0.01316872427983539,22.0,31.0
